Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
2014,1,01/06/2014  7:01 AM,01/07/2014  9:00 AM,"25 Hours, 59 Minutes",ERCOT,TRE,Texas,Public Appeal due to Severe Weather - Cold,N/A,N/A
2014,1,01/06/2014  7:01 AM,01/07/2014  9:00 AM,"25 Hours, 59 Minutes",ERCOT,TRE,Texas,Public Appeal due to Severe Weather - Cold,N/A,N/A
2014,1,01/06/2014  7:50 PM,01/06/2014  8:44 PM,"0 Hours, 54 Minutes",PJM Interconnection,RFC,Unknown,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:50 PM,01/06/2014  8:44 PM,"0 Hours, 54 Minutes",PJM Interconnection,RFC,Unknown,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:50 PM,01/06/2014  8:44 PM,"0 Hours, 54 Minutes",PPL Electric Utilities Corp,RFC,Pennsylvania,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:50 PM,01/06/2014  8:44 PM,"0 Hours, 54 Minutes",Potomac Electric Power Co,RFC,District of Columbia,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:50 PM,01/06/2014  8:44 PM,"0 Hours, 54 Minutes",PPL Electric Utilities Corp,RFC,Pennsylvania,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:50 PM,01/06/2014  8:44 PM,"0 Hours, 54 Minutes",Potomac Electric Power Co,RFC,District of Columbia,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:50 PM,01/06/2014  8:49 PM,"0 Hours, 59 Minutes","UGI Utilities, Inc",RFC,Pennsylvania,Voltage Reduction due to Severe Weather - Cold,200,62000
2014,1,01/06/2014  7:50 PM,01/06/2014  8:49 PM,"0 Hours, 59 Minutes","UGI Utilities, Inc",RFC,Pennsylvania,Voltage Reduction due to Severe Weather - Cold,200,62000
2014,1,01/06/2014  7:52 PM,01/06/2014  8:45 PM,"0 Hours, 53 Minutes",Delmarva Power & Light Company,RFC,Delaware,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  7:52 PM,01/06/2014  8:45 PM,"0 Hours, 53 Minutes",Delmarva Power & Light Company,RFC,Delaware,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  8:45 PM,01/07/2014  9:00 PM,"24 Hours, 15 Minutes",PJM Interconnection,RFC,Unknown,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014  8:45 PM,01/07/2014  9:00 PM,"24 Hours, 15 Minutes",PJM Interconnection,RFC,Unknown,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014 10:00 PM,01/06/2014 10:01 PM,"0 Hours,  1 Minutes",Louisville Gas & Electric Co,RFC,Kentucky,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/06/2014 10:00 PM,01/06/2014 10:01 PM,"0 Hours,  1 Minutes",Louisville Gas & Electric Co,RFC,Kentucky,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014  6:00 AM,01/07/2014  8:30 AM,"2 Hours, 30 Minutes",Tennessee Valley Authority,SERC,Northeast Tennessee,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014  6:00 AM,01/07/2014  8:30 AM,"2 Hours, 30 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014  6:00 AM,01/07/2014  8:30 AM,"2 Hours, 30 Minutes",Tennessee Valley Authority,SERC,Northeast Tennessee,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014  6:00 AM,01/07/2014  8:30 AM,"2 Hours, 30 Minutes",Memphis Light Gas and Water Division,SERC,Tennessee,Public Appeal due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014  7:58 AM,01/07/2014 11:00 AM,"3 Hours,  2 Minutes",Duke Energy Progress,SERC,North Carolina,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,Unknown
2014,1,01/07/2014  7:58 AM,01/07/2014 11:00 AM,"3 Hours,  2 Minutes",Duke Energy Progress,SERC,North Carolina,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,Unknown
2014,1,01/07/2014  9:30 AM,01/08/2014  9:30 AM,"24 Hours,  0 Minutes",Duke Energy Carolinas,SERC,"Piedmont North Carolina, Piedmont South Carolina",Fuel Supply Emergency due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014  9:30 AM,01/08/2014  9:30 AM,"24 Hours,  0 Minutes",Duke Energy Carolinas,SERC,"Piedmont North Carolina, Piedmont South Carolina",Fuel Supply Emergency due to Severe Weather - Cold,Unknown,Unknown
2014,1,01/07/2014 10:59 AM,01/09/2014  9:00 AM,"46 Hours,  1 Minutes","Prairie Power, Inc.",RFC,Illinois,Fuel Supply Emergency - Natural Gas,N/A,N/A
